"ECSO_labels","ECSO_ID"
"cation exchange capacity","http://purl.dataone.org/odo/ecso_00002232"
"cdom absorbance","http://purl.dataone.org/odo/ecso_00001500"
"cdom absorbance at wavelength 250 nm","http://purl.dataone.org/odo/ecso_00001505"
"cdom absorbance at wavelength 254 nm","http://purl.dataone.org/odo/ecso_00001506"
"cdom absorbance at wavelength 350 nm","http://purl.dataone.org/odo/ecso_00001507"
"cdom absorbance at wavelength 365 nm","http://purl.dataone.org/odo/ecso_00001508"
"cdom absorbance at wavelength 375 nm","http://purl.dataone.org/odo/ecso_00001509"
"cdom absorbance at wavelength 400 nm","http://purl.dataone.org/odo/ecso_00001542"
"cdom absorbance at wavelength 412 nm","http://purl.dataone.org/odo/ecso_00001510"
"cdom absorbance at wavelength 440 nm","http://purl.dataone.org/odo/ecso_00001511"
"cdom absorbance at wavelength 443 nm","http://purl.dataone.org/odo/ecso_00001512"
"cdom absorbance ratio","http://purl.dataone.org/odo/ecso_00001501"
"cell count standard deviation","http://purl.dataone.org/odo/ecso_00002301"
"cerium concentration","http://purl.dataone.org/odo/ecso_00001984"
"cerium concentration in ice","http://purl.dataone.org/odo/ecso_00002032"
"cerium solubility in water","http://purl.dataone.org/odo/ecso_00001828"
"cesium ion concentration","http://purl.dataone.org/odo/ecso_00001878"
"cesium ion concentration in ice","http://purl.dataone.org/odo/ecso_00001879"
"ch4 concentration","http://purl.dataone.org/odo/ecso_00000615"
"ch4 concentration in soil","http://purl.dataone.org/odo/ecso_00000653"
"ch4 concentration in water","http://purl.dataone.org/odo/ecso_00000622"
"ch4 flux","http://purl.dataone.org/odo/ecso_00000582"
"ch4 pool","http://purl.dataone.org/odo/ecso_00000205"
"ch4 pressure","http://purl.dataone.org/odo/ecso_00000650"
"ch4 uncertainty measurement","http://purl.dataone.org/odo/ecso_00000677"
"chamber identifier","http://purl.dataone.org/odo/ecso_00002222"
"chamber temperature","http://purl.dataone.org/odo/ecso_00001550"
"chl a","http://purl.dataone.org/odo/ecso_00000516"
"chloride ion concentration","http://purl.dataone.org/odo/ecso_00001776"
"chloride ion concentration in ice","http://purl.dataone.org/odo/ecso_00002034"
"chloride ion concentration in lake water","http://purl.dataone.org/odo/ecso_00001777"
"chloride ion concentration in water","http://purl.dataone.org/odo/ecso_00002033"
"chlorine uncertainty","http://purl.dataone.org/odo/ecso_00002308"
"chlorophyl","http://purl.dataone.org/odo/ecso_00000562"
"chlorophyll a concentration","http://purl.dataone.org/odo/ecso_00000516"
"chlorophyll concentration","http://purl.dataone.org/odo/ecso_00001243"
"chloroplyll a","http://purl.dataone.org/odo/ecso_00000563"
"chromium ion concentration","http://purl.dataone.org/odo/ecso_00001778"
"chromium ion concentration in ice core","http://purl.dataone.org/odo/ecso_00002035"
"chromium ion concentration in lake water","http://purl.dataone.org/odo/ecso_00001779"
"chromium solubility in water","http://purl.dataone.org/odo/ecso_00001829"
"chromophoric dissolved organic matter absorbance","http://purl.dataone.org/odo/ecso_00001500"
"chromophoric dissolved organic matter absorbance at wavelength 250 nm","http://purl.dataone.org/odo/ecso_00001505"
"chromophoric dissolved organic matter absorbance at wavelength 254 nm","http://purl.dataone.org/odo/ecso_00001506"
"chromophoric dissolved organic matter absorbance at wavelength 350 nm","http://purl.dataone.org/odo/ecso_00001507"
"chromophoric dissolved organic matter absorbance at wavelength 365 nm","http://purl.dataone.org/odo/ecso_00001508"
"chromophoric dissolved organic matter absorbance at wavelength 375 nm","http://purl.dataone.org/odo/ecso_00001509"
"chromophoric dissolved organic matter absorbance at wavelength 400 nm","http://purl.dataone.org/odo/ecso_00001542"
"chromophoric dissolved organic matter absorbance at wavelength 412 nm","http://purl.dataone.org/odo/ecso_00001510"
"chromophoric dissolved organic matter absorbance at wavelength 440 nm","http://purl.dataone.org/odo/ecso_00001511"
"chromophoric dissolved organic matter absorbance at wavelength 443 nm","http://purl.dataone.org/odo/ecso_00001512"
"chromophoric dissolved organic matter absorbance ratio","http://purl.dataone.org/odo/ecso_00001501"
"chrysanthemum arcticum percent cover","http://purl.dataone.org/odo/ecso_00001590"
"clay percentage in soil","http://purl.dataone.org/odo/ecso_00002309"
"cloud cover","http://purl.dataone.org/odo/ecso_00002310"
"cloud droplet concentration","http://purl.dataone.org/odo/ecso_00002355"
"cloud ice crystal concentration","http://purl.dataone.org/odo/ecso_00002354"
"cloud optical depth","http://purl.dataone.org/odo/ecso_00002311"
"cloud optical thickness","http://purl.dataone.org/odo/ecso_00002311"
"cloud particle radius","http://purl.dataone.org/odo/ecso_00002358"
"cloud rain concentration","http://purl.dataone.org/odo/ecso_00002356"
"cloud snowflake concentration","http://purl.dataone.org/odo/ecso_00002357"
"cloud top pressure","http://purl.dataone.org/odo/ecso_00002296"
"cloud top temperature","http://purl.dataone.org/odo/ecso_00002286"
"co2 concentration","http://purl.dataone.org/odo/ecso_00000530"
"co2 concentration in air","http://purl.dataone.org/odo/ecso_00000580"
"co2 diffusion flux","http://purl.dataone.org/odo/ecso_00000201"
"co2 enrichment method","http://purl.dataone.org/odo/ecso_00000300"
"co2 flux","http://purl.dataone.org/odo/ecso_00000536"
"co2 mass density","http://purl.dataone.org/odo/ecso_00000679"
"co3","http://purl.dataone.org/odo/ecso_00000325"
"co3 concentration","http://purl.dataone.org/odo/ecso_00000565"
